ID.pts,long,lat,bio12,bio14,bio15,elevation,prop_cropland,prop_water,prop_urban,prop_grassland,prop_snow_ice,prop_treecover,prop_shrubland,NDVI.mean,NDVI.SD,bio1,Zooreg,RealmID,Realm_incomplete,Realm
535,176.2666,-38.0781,1745,118,13,286,0.004067959,0.268245992,0.089016511,0.488872936,0,0.072266092,0.006939459,5804,3719,125,18,3,Australian,Australian
536,175.2793,-37.787,1272,80,15,40,0.011530147,0.002402114,0.187845304,0.791016094,0,0,0,6904,1510,141,18,3,Australian,Australian
537,174.7633,-36.8485,1253,72,18,37,0,0.341262136,0.56092233,0.034708738,0,0.004126214,0.016019417,3422,3794,152,18,3,Australian,Australian
538,174.8894,-36.6012,1137,76,18,15,0,0.958516349,0.009272816,0.017325525,0,0.003904344,0.005612494,-1927,3029,154,NA,NA,NA,Australian
539,174.7597,-36.3809,1470,97,21,37,0.010757946,0.406601467,0.015892421,0.341320293,0,0.048899756,0.033007335,3043,5095,153,NA,NA,NA,Australian
540,175.0753,-36.1946,1846,114,22,256,0,0.903850871,0,0,0,0.086337994,0.009811136,-2190,2808,143,NA,NA,NA,Australian
541,174.3237,-35.7251,1568,99,20,53,0.007171118,0.088773492,0.074431256,0.463402572,0,0.114243323,0.042532146,5797,3248,151,18,3,Australian,Australian
542,174.7356,-35.4719,1688,99,23,2,0,0.993067591,0,0,0,0.002228274,0.004704135,-3000,0,159,NA,NA,NA,Australian
543,176.1038,-38.6195,1391,93,13,433,0.009041161,0.016892696,0.035926719,0.73066857,0,0.099928622,0.014989293,6987,1456,116,18,3,Australian,Australian
544,169.1539,-46.49,1332,86,13,253,0.002098196,0,0,0.369911876,0,0.574276123,0.001678556,8005,1990,91,18,3,Australian,Australian
545,169.3903,-45.888,913,61,12,691,0.005500317,0,0,0.421408927,0,0.352866512,0.035963613,7765,1136,87,18,3,Australian,Australian
546,170.5028,-45.8788,871,58,10,24,0.004027984,0.311002756,0.117871529,0.240195039,0,0.088615646,0.052151791,3153,5038,103,18,3,Australian,Australian
547,172.6362,-43.5321,650,40,18,9,0.018755516,0.07744925,0.460944395,0.314210062,0,0.035966461,0.005736981,2908,3826,116,18,3,Australian,Australian
548,173.6814,-42.4008,947,61,20,14,0.003819366,0.592675803,0.006740058,0.266456976,0,0.032127612,0.020444844,1802,5119,126,NA,NA,NA,Australian
549,170.4771,-44.0047,660,39,10,731,0.001531394,0.131043535,0.000875082,0.568584555,0,0.002406476,0.01268869,3774,2378,90,18,3,Australian,Australian
550,122.8987,9.7151,2239,47,53,156,0.187183308,0,0,0,0,0.000894188,0,6042,1759,264,14,7,Oriental,Oriental
551,122.5373,11.3209,2433,66,41,65,0.807532622,0,0,0,0,0.049822064,0,6495,2066,271,14,7,Oriental,Oriental
552,123.3492,11.6236,2354,58,40,11,0.009464655,0.973084886,0,0,0,0.012718131,0,-2825,1257,277,NA,NA,NA,Oriental
553,121.9189,11.9804,3757,55,59,20,0.0562463,0.863232682,0,0,0,0.072824156,0,-1964,2983,268,NA,NA,NA,Oriental
554,121.3909,12.0684,3320,17,80,25,0.078037245,0.813479161,0.000591191,0,0,0.045226131,0,-1716,3077,274,NA,NA,NA,Oriental
555,121.774,12.8797,2167,35,56,NA,0.000883913,0.953152622,0,0,0,0.035356511,0,-2728,1631,270,NA,NA,NA,Oriental
556,120.6146,14.2673,2300,7,97,6,0.058633832,0.693931398,0,0,0,0.232483143,0,-628,4319,267,NA,NA,NA,Oriental
557,142.8267,-6.6142,3974,256,15,1735,0.007213706,0,0,0,0,0.992786294,0,5833,3052,224,17,6,Oceanina,Oceanian
558,145.79458,-5.1563611,3435,158,29,10,0.078106152,0.482810615,0.000904704,0,0,0.423100121,0,2563,5287,259,17,6,Oceanina,Oceanian
559,153.3,-11.5,1813,63,44,1,0.014192785,0.595505618,0.000295683,0,0,0.357776464,0,290,4889,265,NA,NA,NA,Oceanian
560,148.24,-8.71,2843,112,36,76,0.154559043,0,0.001494768,0,0,0.692077728,0,8137,1072,262,17,6,Oceanina,Oceanian
561,168.1792,-15.7173,2762,115,31,527,0.028230501,0.429278231,0.000291036,0,0,0.529394645,0,2117,5259,230,17,6,Oceanina,Oceanian
562,167.8139,-15.3745,2974,131,30,985,0.016939252,0.23364486,0,0,0,0.728971963,0,2674,5204,225,17,6,Oceanina,Oceanian
563,168.1222,-15.1496,2943,124,30,529,0.024582968,0.643839625,0,0,0,0.3277729,0,0,4693,248,17,6,Oceanina,Oceanian
